amount,description,date,category_id,category_name
-515.99,Best Buy - books,2025-05-04,3,Shopping
-475.99,Amazon purchase - home goods,2024-05-08,3,Shopping
-5.99,Coffee at Local Coffee Co.,2025-04-25,1,Food & Dining
-107,Insurance payment - life,2025-05-03,5,Bills & Utilities
-667.7476148310533,Amazon purchase - electronics,2024-08-10,3,Shopping
-124.14311687564793,Movie tickets at Cinemark,2025-09-18,4,Entertainment
-23.95,Lunch at Chipotle,2024-02-22,1,Food & Dining
-74.49,Dinner at Domino's - App,2024-09-12,1,Food & Dining
-2133,Phone bill - Verizon,2024-04-20,5,Bills & Utilities
5099.172823905716,Refund - Target,2024-02-01,8,Income
-23.95,DoorDash delivery,2024-07-10,1,Food & Dining
-425,Water bill - March,2024-11-18,5,Bills & Utilities
-69.20487512419456,Metro card reload,2024-12-05,2,Transportation
-79.5,Lunch at Panera,2023-09-28,1,Food & Dining
-29.5,Takeout from McDonald's,2025-08-16,1,Food & Dining
-781,Electric bill - May,2025-09-20,5,Bills & Utilities
-41.95,Lunch at Domino's,2023-12-04,1,Food & Dining
-52.99,Snacks at BP,2023-09-28,1,Food & Dining
-48.05043209831609,Uber ride to downtown,2024-06-13,2,Transportation
-60.99,Coffee at Peet's Coffee,2025-03-16,1,Food & Dining
-21.607,Metro card reload,2025-06-14,2,Transportation
-13.785528699334975,Toll road payment,2025-05-04,2,Transportation
-228.63181808779456,Hotel booking - Seattle - Transaction 965,2025-06-15,7,Travel
-56.942,Parking at hospital,2025-07-11,2,Transportation
-20.0,Grocery shopping at Walmart,2025-02-16,1,Food & Dining
-64.75819053847914,Lyft to hospital,2024-10-22,2,Transportation
-893.4068122119271,Best Buy - clothing,2023-10-30,3,Shopping
-35.49,Takeout from Subway - Purchase 361,2025-01-24,1,Food & Dining
-1804,Electric bill - March,2023-10-21,5,Bills & Utilities
-103.01283664596869,Movie tickets at AMC,2025-05-15,4,Entertainment
-182,Insurance payment - health - Store 65,2025-09-20,5,Bills & Utilities
-49.99,Dinner at Panera,2024-01-17,1,Food & Dining
